"country_text_id","libdem","fh","e_polity2"
"AFG",24.7900212580379,4,-1
"AGO",12.6549056506648,4,-2
"ALB",46.3220722950727,10,9
"ARE",10.7268720026257,4,-8
"ARG",60.1543296696176,12,9
"ARM",24.2734260333303,7,5
"AUS",83.8131258753269,14,10
"AUT",79.257071203644,14,10
"AZE",6.26387229521029,3,-7
"BDI",7.73262708841429,3,-1
"BEL",80.5687292451263,14,8
"BEN",56.9609345189267,12,7
"BFA",30.1265344915519,9,6
"BGD",16.4907820354782,8,1
"BGR",63.6294724789294,12,9
"BHR",5.72252129483441,3,-10
"BIH",25.8478606492748,9,NA
"BLR",9.85975210810273,3,-7
"BOL",39.2280385060238,10,7
"BRA",76.0293267012139,12,8
"BRB",67.5278992646564,14,NA
"BTN",50.3176362166623,9,5
"BWA",61.0994555040465,11,8
"CAF",16.4594593354644,2,0
"CAN",77.5831249461195,14,10
"CHE",86.6280182603648,14,10
"CHL",79.1175660947185,14,10
"CHN",5.55033929854956,3,-7
"CIV",34.2375699358727,8,4
"CMR",16.7974989181287,4,-4
"COD",11.0925204781271,4,5
"COG",11.6525545601184,5,-4
"COL",50.1436674731396,9,7
"COM",32.292756703716,9,9
"CPV",77.8724546390749,14,10
"CRI",86.07257273964,14,10
"CUB",7.12713075106462,3,-7
"CYP",74.3675351936009,14,10
"CZE",78.0275988229148,14,9
"DEU",81.7685309344099,14,10
"DJI",12.8574287218376,5,3
"DNK",87.9086601917336,14,10
"DOM",31.3439729021929,10,8
"DZA",17.4614480506525,5,2
"ECU",33.6672682478862,10,5
"EGY",7.52078228450127,5,-4
"ERI",1.40440559448688,2,-7
"ESP",72.8719722535386,14,10
"EST",85.3843864837439,14,9
"ETH",11.8668587687639,3,NA
"FIN",82.3317182215391,14,10
"FJI",31.9836726770444,10,2
"FRA",81.7646405489021,14,9
"GAB",25.6165940438627,5,3
"GBR",80.4710478596178,14,10
"GEO",54.2752668938073,10,7
"GHA",54.9870769608985,13,8
"GIN",21.5561329732313,6,4
"GMB",10.9615205032976,3,-5
"GNB",31.7320040771446,6,6
"GNQ",6.34660246301908,2,-6
"GRC",72.9665151614932,12,10
"GTM",47.2782230440221,8,8
"GUY",42.8716846805719,11,7
"HKG",31.5225041386182,NA,NA
"HND",27.9395278875322,8,7
"HRV",68.2154601174082,13,9
"HTI",26.3339101098069,6,0
"HUN",54.6372391760217,12,10
"IDN",50.7069412767448,10,9
"IND",46.1246096578449,11,9
"IRL",79.1896926226378,14,10
"IRN",15.7408146178818,4,-7
"IRQ",26.9224254573275,5,6
"ISL",77.4832421211726,14,NA
"ISR",57.8864347129141,13,6
"ITA",79.397098449495,14,10
"JAM",69.0904711924975,11,9
"JOR",21.4917524622539,5,-3
"JPN",75.5450471845687,14,10
"KAZ",13.3408446429342,5,-6
"KEN",36.7587364604645,8,9
"KGZ",32.4602518444474,6,7
"KHM",13.1633475220108,5,2
"KOR",61.5065192773512,12,8
"KWT",27.6999011596106,6,-7
"LAO",9.11744660839173,3,-7
"LBN",30.6170778925396,7,6
"LBR",48.2580487531957,9,6
"LBY",20.180648785539,4,0
"LKA",38.1607877239674,8,6
"LSO",51.144743570008,10,8
"LTU",76.4307861813933,14,10
"LUX",75.7227581455569,14,10
"LVA",75.9415750465632,12,8
"MAR",25.6768976475518,7,-4
"MDA",48.7346476047512,10,9
"MDG",26.1714613019482,9,6
"MDV",19.3260528835948,7,NA
"MEX",47.4662884549291,10,8
"MKD",26.6410913647692,9,9
"MLI",41.1799970926229,7,5
"MMR",19.7135849534065,5,2
"MNE",39.0639875173441,10,8
"MNG",52.9481902742889,13,10
"MOZ",31.6057001778543,8,5
"MRT",16.6443132297876,5,-2
"MUS",68.0747089343533,13,10
"MWI",44.4028465629154,10,6
"MYS",21.8526521070655,8,5
"NAM",59.2820730336165,12,6
"NER",46.5698270086691,9,6
"NGA",43.1060835218496,7,7
"NIC",14.6960384382337,9,9
"NLD",81.7640929500423,14,10
"NOR",86.5300276236943,14,10
"NPL",45.5042675037514,9,6
"NZL",82.4947270409085,14,10
"OMN",13.0030874699526,5,-8
"PAK",29.266000184001,7,7
"PAN",62.1091560906075,12,9
"PER",62.7132322289396,11,9
"PHL",42.99291766759,10,8
"PNG",31.7843913757344,9,5
"POL",78.54537727336,14,10
"PRK",1.23289826714934,2,-10
"PRT",81.594419295745,14,10
"PRY",43.1014377377043,10,9
"PSE",17.1090538453881,NA,NA
"PSG",7.31622926727339,NA,NA
"QAT",9.42246744262763,5,-10
"ROU",60.6089469852801,12,9
"RUS",13.1279293651862,4,4
"RWA",21.0864418336315,4,-3
"SAU",4.92375040100715,2,-10
"SDN",8.53209518050065,NA,NA
"SEN",57.5014479869813,12,7
"SGP",33.8954787121768,8,-2
"SLB",46.4393210714693,10,8
"SLE",34.5782744565014,10,7
"SLV",48.0825526691559,11,8
"SML",29.0538635444042,NA,NA
"SOM",13.0879340885771,2,5
"SRB",33.9676519289776,NA,NA
"SSD",7.25047591296217,3,-4
"STP",63.4048447519206,12,NA
"SUR",69.4996320427344,11,5
"SVK",72.5531285356459,14,10
"SVN",81.5417108023048,14,10
"SWE",86.1309950412932,14,10
"SWZ",9.71790732571586,4,-9
"SYC",41.86385736141,10,NA
"SYR",2.91703590228797,2,-9
"TCD",10.6513639306511,3,-2
"TGO",28.2802071763507,8,-2
"THA",11.2152910940558,5,-3
"TJK",6.01052317282736,3,-3
"TKM",3.72895839439178,2,-8
"TLS",47.065470919107,10,8
"TTO",64.7117809178193,12,10
"TUN",60.6316415382299,12,7
"TUR",27.497755085751,9,3
"TWN",64.7107477475888,13,10
"TZA",43.0070546874434,9,3
"UGA",28.3911188170793,5,-1
"UKR",22.5570436801758,10,4
"URY",78.7128714682817,14,10
"USA",84.5546763774747,14,10
"UZB",4.3213372941979,2,-9
"VEN",12.2270461943211,6,4
"VNM",19.3156983066334,4,NA
"VUT",57.9511557977681,12,NA
"XKX",32.8413638244266,NA,NA
"YEM",7.01765774354375,3,0
"ZAF",62.9984968777631,12,9
"ZMB",37.572019319529,9,7
"ZWE",20.3513113926181,6,4
"ZZB",23.3558570400766,NA,NA
